,balance,equity,balance_btc,equity_btc
0,1000.18929928,1000.0,0.0,0.0
60,1000.18929928,1000.0,0.0,0.0
120,1000.18929928,1000.18929928,0.0,0.0
180,1000.18929928,1000.18929928,0.0,0.0
240,1000.18929928,1000.18929928,0.0,0.0
300,1000.49841144,1000.18929928,0.0,0.0
360,1000.6915282400001,1000.49841144,0.0,0.0
420,1000.6915282400001,1000.6915282400001,0.0,0.0
480,1000.6915282400001,1000.6915282400001,0.0,0.0
540,1000.6915282400001,1000.6915282400001,0.0,0.0
600,1000.6915282400001,1000.6915282400001,0.0,0.0
660,1000.8886071200002,1000.6915282400001,0.0,0.0
720,1000.8886071200002,1000.8886071200002,0.0,0.0
780,1000.8886071200002,1000.8886071200002,0.0,0.0
840,1000.8886071200002,1000.8886071200002,0.0,0.0
900,1000.8886071200002,1000.8886071200002,0.0,0.0
960,1000.8886071200002,1000.8886071200002,0.0,0.0
1020,1000.8886071200002,1000.8886071200002,0.0,0.0
1080,1000.8886071200002,1000.8886071200002,0.0,0.0
1140,1000.8886071200002,1000.8886071200002,0.0,0.0
1200,1000.8886071200002,1000.8886071200002,0.0,0.0
1260,1000.8886071200002,1000.8886071200002,0.0,0.0
1320,1000.8886071200002,1000.8886071200002,0.0,0.0
1380,1001.0744266400002,1000.8886071200002,0.0,0.0
1440,1001.0744266400002,1001.0744266400002,0.0,0.0
1500,1001.0744266400002,1001.0744266400002,0.0,0.0
1560,1001.0744266400002,1001.0744266400002,0.0,0.0
1620,1001.0744266400002,1001.0744266400002,0.0,0.0
1680,1001.0744266400002,1001.0744266400002,0.0,0.0
1740,1001.0744266400002,1001.0744266400002,0.0,0.0
1800,1001.0744266400002,1001.0744266400002,0.0,0.0
1860,1001.0744266400002,1001.0744266400002,0.0,0.0
1920,1001.0744266400002,1001.0744266400002,0.0,0.0
1980,1001.0744266400002,1001.0744266400002,0.0,0.0
2040,1001.0744266400002,1001.0744266400002,0.0,0.0
2100,1001.0744266400002,1001.0744266400002,0.0,0.0
2160,1001.0744266400002,1001.0744266400002,0.0,0.0
2220,1001.0744266400002,1001.0744266400002,0.0,0.0
2280,1001.0744266400002,1001.0744266400002,0.0,0.0
2340,1001.0744266400002,1001.0744266400002,0.0,0.0
2400,1001.0744266400002,1001.0744266400002,0.0,0.0
2460,1001.0744266400002,1001.0744266400002,0.0,0.0
2520,1001.0744266400002,1001.0744266400002,0.0,0.0
2580,1001.0744266400002,1001.0744266400002,0.0,0.0
2640,1001.0744266400002,1001.0744266400002,0.0,0.0
2700,1001.0744266400002,1001.0744266400002,0.0,0.0
2760,1001.0744266400002,1001.0744266400002,0.0,0.0
2820,1001.0744266400002,1001.0744266400002,0.0,0.0
2880,1001.0744266400002,1001.0744266400002,0.0,0.0
2940,1001.0744266400002,1001.0744266400002,0.0,0.0
3000,1001.0744266400002,1001.0744266400002,0.0,0.0
3060,1001.0744266400002,1001.0744266400002,0.0,0.0
3120,1001.0744266400002,1001.0744266400002,0.0,0.0
3180,1001.0744266400002,1001.0744266400002,0.0,0.0
3240,1001.0744266400002,1001.0744266400002,0.0,0.0
3300,1001.0744266400002,1001.0744266400002,0.0,0.0
3360,1001.0744266400002,1001.0744266400002,0.0,0.0
3420,1001.0744266400002,1001.0744266400002,0.0,0.0
3480,1001.0744266400002,1001.0744266400002,0.0,0.0
3540,1001.0744266400002,1001.0744266400002,0.0,0.0
3600,1001.0744266400002,1001.0744266400002,0.0,0.0
3660,1001.0744266400002,1001.0744266400002,0.0,0.0
3720,1001.0744266400002,1001.0744266400002,0.0,0.0
3780,1001.0744266400002,1001.0744266400002,0.0,0.0
3840,1001.0744266400002,1001.0744266400002,0.0,0.0
3900,1001.0744266400002,1001.0744266400002,0.0,0.0
3960,1001.0744266400002,1001.0744266400002,0.0,0.0
4020,1001.0744266400002,1001.0744266400002,0.0,0.0
4080,1001.0744266400002,1001.0744266400002,0.0,0.0
4140,1001.0744266400002,1001.0744266400002,0.0,0.0
4200,1001.9451836600003,1001.0744266400002,0.0,0.0
4260,1001.9451836600003,1001.9451836600003,0.0,0.0
4320,1001.9451836600003,1001.9451836600003,0.0,0.0
4380,1001.9451836600003,1001.9451836600003,0.0,0.0
4440,1001.9451836600003,1001.9451836600003,0.0,0.0
4500,1001.9451836600003,1001.9451836600003,0.0,0.0
4560,1001.9451836600003,1001.9451836600003,0.0,0.0
4620,1001.9451836600003,1001.9451836600003,0.0,0.0
4680,1001.9259029000003,1001.9451836600003,0.0,0.0
4740,1001.9259029000003,1001.7726029000004,0.0,-0.15329999999999933
4800,1002.2900633000004,1000.5024029000003,0.0,-1.4235000000000053
4860,1002.2900633000004,1002.2900633000004,0.0,0.0
4920,1002.2900633000004,1002.2900633000004,0.0,0.0
4980,1002.2900633000004,1002.2900633000004,0.0,0.0
5040,1002.2900633000004,1002.2900633000004,0.0,0.0
5100,1002.2900633000004,1002.2900633000004,0.0,0.0
5160,1002.2900633000004,1002.2900633000004,0.0,0.0
5220,1002.2900633000004,1002.2900633000004,0.0,0.0
5280,1002.2900633000004,1002.2900633000004,0.0,0.0
5340,1002.2900633000004,1002.2900633000004,0.0,0.0
5400,1002.2900633000004,1002.2900633000004,0.0,0.0
5460,1002.2900633000004,1002.2900633000004,0.0,0.0
5520,1002.2900633000004,1002.2900633000004,0.0,0.0
5580,1002.2900633000004,1002.2900633000004,0.0,0.0
5640,1002.2900633000004,1002.2900633000004,0.0,0.0
5700,1002.2900633000004,1002.2900633000004,0.0,0.0
5760,1002.2900633000004,1002.2900633000004,0.0,0.0
5820,1002.2900633000004,1002.2900633000004,0.0,0.0
5880,1002.2900633000004,1002.2900633000004,0.0,0.0
5940,1002.2900633000004,1002.2900633000004,0.0,0.0
6000,1002.2900633000004,1002.2900633000004,0.0,0.0
6060,1002.2900633000004,1002.2900633000004,0.0,0.0
6120,1002.2900633000004,1002.2900633000004,0.0,0.0
6180,1002.2900633000004,1002.2900633000004,0.0,0.0
6240,1002.2900633000004,1002.2900633000004,0.0,0.0
6300,1002.2900633000004,1002.2900633000004,0.0,0.0
6360,1002.2900633000004,1002.2900633000004,0.0,0.0
6420,1002.2900633000004,1002.2900633000004,0.0,0.0
6480,1002.2900633000004,1002.2900633000004,0.0,0.0
6540,1002.2900633000004,1002.2900633000004,0.0,0.0
6600,1002.2900633000004,1002.2900633000004,0.0,0.0
6660,1002.2900633000004,1002.2900633000004,0.0,0.0
6720,1002.4786692800004,1002.2900633000004,0.0,0.0
6780,1002.4786692800004,1002.4786692800004,0.0,0.0
6840,1002.4786692800004,1002.4786692800004,0.0,0.0
6900,1002.4786692800004,1002.4786692800004,0.0,0.0
6960,1002.4786692800004,1002.4786692800004,0.0,0.0
7020,1002.4786692800004,1002.4786692800004,0.0,0.0
7080,1002.4786692800004,1002.4786692800004,0.0,0.0
7140,1002.4786692800004,1002.4786692800004,0.0,0.0
7200,1002.4786692800004,1002.4786692800004,0.0,0.0
