,balance,equity,balance_btc,equity_btc
0,1000.7408095239999,1000.0,0.0,0.0
60,1000.7408095239999,1000.0,0.0,0.0
120,1000.7408095239999,1000.0,0.0,0.0
180,1000.7408095239999,1000.0,0.0,0.0
240,1000.7408095239999,1000.0,0.0,0.0
300,1000.7408095239999,1000.0,0.0,0.0
360,1000.7408095239999,1000.0,0.0,0.0
420,1000.7408095239999,1000.0,0.0,0.0
480,1000.7408095239999,1000.0,0.0,0.0
540,1000.7408095239999,1000.0,0.0,0.0
600,1000.7408095239999,1000.0,0.0,0.0
660,1000.7408095239999,1000.0,0.0,0.0
720,1000.7408095239999,1000.0,0.0,0.0
780,1000.7408095239999,1000.0,0.0,0.0
840,1000.7408095239999,1000.0,0.0,0.0
900,1000.7408095239999,1000.0,0.0,0.0
960,1000.7408095239999,1000.0,0.0,0.0
1020,1000.7408095239999,1000.0,0.0,0.0
1080,1000.7408095239999,1000.7408095239999,0.0,0.0
1140,1000.7408095239999,1000.7408095239999,0.0,0.0
1200,1000.7408095239999,1000.7408095239999,0.0,0.0
1260,1000.7408095239999,1000.7408095239999,0.0,0.0
1320,1000.7408095239999,1000.7408095239999,0.0,0.0
1380,1000.7408095239999,1000.7408095239999,0.0,0.0
1440,1000.7408095239999,1000.7408095239999,0.0,0.0
1500,1000.7408095239999,1000.7408095239999,0.0,0.0
1560,1000.7408095239999,1000.7408095239999,0.0,0.0
1620,1000.7408095239999,1000.7408095239999,0.0,0.0
1680,1000.7408095239999,1000.7408095239999,0.0,0.0
1740,1000.7408095239999,1000.7408095239999,0.0,0.0
1800,1000.7408095239999,1000.7408095239999,0.0,0.0
1860,1000.7408095239999,1000.7408095239999,0.0,0.0
1920,1000.7408095239999,1000.7408095239999,0.0,0.0
1980,1000.7408095239999,1000.7408095239999,0.0,0.0
2040,1000.7408095239999,1000.7408095239999,0.0,0.0
2100,1000.7408095239999,1000.7408095239999,0.0,0.0
2160,1000.7408095239999,1000.7408095239999,0.0,0.0
2220,1000.7408095239999,1000.7408095239999,0.0,0.0
2280,1000.7408095239999,1000.7408095239999,0.0,0.0
2340,1000.7408095239999,1000.7408095239999,0.0,0.0
2400,1003.6175409129999,1000.7408095239999,0.0,0.0
2460,1003.6175409129999,1003.6175409129999,0.0,0.0
2520,1003.6175409129999,1003.6175409129999,0.0,0.0
2580,1003.6175409129999,1003.6175409129999,0.0,0.0
2640,1003.6175409129999,1003.6175409129999,0.0,0.0
2700,1003.6175409129999,1003.6175409129999,0.0,0.0
2760,1003.6175409129999,1003.6175409129999,0.0,0.0
2820,1003.6175409129999,1003.6175409129999,0.0,0.0
2880,1003.6175409129999,1003.6175409129999,0.0,0.0
2940,1003.6175409129999,1003.6175409129999,0.0,0.0
3000,1003.6175409129999,1003.6175409129999,0.0,0.0
3060,1003.6175409129999,1003.6175409129999,0.0,0.0
3120,1003.6175409129999,1003.6175409129999,0.0,0.0
3180,1003.6175409129999,1003.6175409129999,0.0,0.0
3240,1003.6175409129999,1003.6175409129999,0.0,0.0
3300,1003.6175409129999,1003.6175409129999,0.0,0.0
3360,1003.6175409129999,1003.6175409129999,0.0,0.0
3420,1003.6175409129999,1003.6175409129999,0.0,0.0
3480,1003.6175409129999,1003.6175409129999,0.0,0.0
3540,1003.6175409129999,1003.6175409129999,0.0,0.0
3600,1003.6175409129999,1003.6175409129999,0.0,0.0
3660,1003.6175409129999,1003.6175409129999,0.0,0.0
3720,1003.6175409129999,1003.6175409129999,0.0,0.0
3780,1003.6175409129999,1003.6175409129999,0.0,0.0
3840,1003.6175409129999,1003.6175409129999,0.0,0.0
3900,1003.6175409129999,1003.6175409129999,0.0,0.0
3960,1003.6175409129999,1003.6175409129999,0.0,0.0
4020,1003.6175409129999,1003.6175409129999,0.0,0.0
4080,1003.6175409129999,1003.6175409129999,0.0,0.0
4140,1003.6175409129999,1003.6175409129999,0.0,0.0
4200,1003.6175409129999,1003.6175409129999,0.0,0.0
4260,1003.6175409129999,1003.6175409129999,0.0,0.0
4320,1003.6175409129999,1003.6175409129999,0.0,0.0
4380,1003.6175409129999,1003.6175409129999,0.0,0.0
4440,1003.6175409129999,1003.6175409129999,0.0,0.0
4500,1003.6175409129999,1003.6175409129999,0.0,0.0
4560,1003.6175409129999,1003.6175409129999,0.0,0.0
4620,1003.6175409129999,1003.6175409129999,0.0,0.0
4680,1003.6175409129999,1003.6175409129999,0.0,0.0
4740,1003.6175409129999,1003.6175409129999,0.0,0.0
4800,1003.6175409129999,1003.6175409129999,0.0,0.0
4860,1003.6175409129999,1003.6175409129999,0.0,0.0
4920,1007.8876359945999,1003.6175409129999,0.0,0.0
4980,1007.8876359945999,1007.8876359945999,0.0,0.0
5040,1007.8876359945999,1007.8876359945999,0.0,0.0
5100,1007.8876359945999,1007.8876359945999,0.0,0.0
5160,1007.8876359945999,1007.8876359945999,0.0,0.0
5220,1007.8876359945999,1007.8876359945999,0.0,0.0
5280,1007.8876359945999,1007.8876359945999,0.0,0.0
5340,1007.8876359945999,1007.8876359945999,0.0,0.0
5400,1007.8876359945999,1007.8876359945999,0.0,0.0
5460,1007.8876359945999,1007.8876359945999,0.0,0.0
5520,1007.8876359945999,1007.8876359945999,0.0,0.0
5580,1007.8876359945999,1007.8876359945999,0.0,0.0
5640,1007.8876359945999,1007.8876359945999,0.0,0.0
5700,1007.8876359945999,1007.8876359945999,0.0,0.0
5760,1007.8876359945999,1007.8876359945999,0.0,0.0
5820,1007.8876359945999,1007.8876359945999,0.0,0.0
5880,1007.8876359945999,1007.8876359945999,0.0,0.0
5940,1007.8876359945999,1007.8876359945999,0.0,0.0
6000,1007.8876359945999,1007.8876359945999,0.0,0.0
6060,1007.8876359945999,1007.8876359945999,0.0,0.0
6120,1007.8876359945999,1007.8876359945999,0.0,0.0
6180,1007.8876359945999,1007.8876359945999,0.0,0.0
6240,1007.8876359945999,1007.8876359945999,0.0,0.0
6300,1007.8876359945999,1007.8876359945999,0.0,0.0
6360,1007.8876359945999,1007.8876359945999,0.0,0.0
6420,1007.8876359945999,1007.8876359945999,0.0,0.0
6480,1007.8876359945999,1007.8876359945999,0.0,0.0
6540,1007.8876359945999,1007.8876359945999,0.0,0.0
6600,1007.8876359945999,1007.8876359945999,0.0,0.0
6660,1007.8876359945999,1007.8876359945999,0.0,0.0
6720,1007.8876359945999,1007.8876359945999,0.0,0.0
6780,1007.8876359945999,1007.8876359945999,0.0,0.0
6840,1007.8876359945999,1007.8876359945999,0.0,0.0
6900,1007.8876359945999,1007.8876359945999,0.0,0.0
6960,1007.8876359945999,1007.8876359945999,0.0,0.0
7020,1007.8876359945999,1007.8876359945999,0.0,0.0
7080,1007.8876359945999,1007.8876359945999,0.0,0.0
7140,1007.8876359945999,1007.8876359945999,0.0,0.0
7200,1007.8876359945999,1007.8876359945999,0.0,0.0
7260,1007.8876359945999,1007.8876359945999,0.0,0.0
7320,1007.8876359945999,1007.8876359945999,0.0,0.0
7380,1007.8876359945999,1007.8876359945999,0.0,0.0
7440,1007.8876359945999,1007.8876359945999,0.0,0.0
7500,1007.8876359945999,1007.8876359945999,0.0,0.0
7560,1007.8876359945999,1007.8876359945999,0.0,0.0
7620,1007.8876359945999,1007.8876359945999,0.0,0.0
7680,1007.8876359945999,1007.8876359945999,0.0,0.0
7740,1007.8876359945999,1007.8876359945999,0.0,0.0
7800,1007.8876359945999,1007.8876359945999,0.0,0.0
7860,1007.8876359945999,1007.8876359945999,0.0,0.0
7920,1007.8876359945999,1007.8876359945999,0.0,0.0
7980,1007.8876359945999,1007.8876359945999,0.0,0.0
8040,1007.8876359945999,1007.8876359945999,0.0,0.0
8100,1007.8876359945999,1007.8876359945999,0.0,0.0
8160,1007.8876359945999,1007.8876359945999,0.0,0.0
8220,1007.8876359945999,1007.8876359945999,0.0,0.0
8280,1007.8876359945999,1007.8876359945999,0.0,0.0
8340,1007.8876359945999,1007.8876359945999,0.0,0.0
8400,1007.8876359945999,1007.8876359945999,0.0,0.0
8460,1007.8876359945999,1007.8876359945999,0.0,0.0
8520,1007.8876359945999,1007.8876359945999,0.0,0.0
8580,1007.8876359945999,1007.8876359945999,0.0,0.0
8640,1007.8876359945999,1007.8876359945999,0.0,0.0
8700,1007.8876359945999,1007.8876359945999,0.0,0.0
8760,1007.8876359945999,1007.8876359945999,0.0,0.0
8820,1007.8876359945999,1007.8876359945999,0.0,0.0
8880,1007.8876359945999,1007.8876359945999,0.0,0.0
8940,1007.8876359945999,1007.8876359945999,0.0,0.0
9000,1007.8876359945999,1007.8876359945999,0.0,0.0
9060,1007.8876359945999,1007.8876359945999,0.0,0.0
9120,1007.8876359945999,1007.8876359945999,0.0,0.0
9180,1007.8876359945999,1007.8876359945999,0.0,0.0
9240,1007.8876359945999,1007.8876359945999,0.0,0.0
9300,1007.8876359945999,1007.8876359945999,0.0,0.0
9360,1007.8876359945999,1007.8876359945999,0.0,0.0
9420,1007.8876359945999,1007.8876359945999,0.0,0.0
9480,1007.8876359945999,1007.8876359945999,0.0,0.0
9540,1007.8876359945999,1007.8876359945999,0.0,0.0
9600,1007.8876359945999,1007.8876359945999,0.0,0.0
9660,1007.8876359945999,1007.8876359945999,0.0,0.0
9720,1007.8876359945999,1007.8876359945999,0.0,0.0
9780,1007.8876359945999,1007.8876359945999,0.0,0.0
9840,1007.8876359945999,1007.8876359945999,0.0,0.0
9900,1007.8876359945999,1007.8876359945999,0.0,0.0
9960,1007.8876359945999,1007.8876359945999,0.0,0.0
10020,1007.8876359945999,1007.8876359945999,0.0,0.0
10080,1007.8876359945999,1007.8876359945999,0.0,0.0
10140,1007.8876359945999,1007.8876359945999,0.0,0.0
10200,1007.8876359945999,1007.8876359945999,0.0,0.0
10260,1007.8876359945999,1007.8876359945999,0.0,0.0
10320,1007.8876359945999,1007.8876359945999,0.0,0.0
10380,1007.8876359945999,1007.8876359945999,0.0,0.0
10440,1007.8876359945999,1007.8876359945999,0.0,0.0
10500,1007.8876359945999,1007.8876359945999,0.0,0.0
10560,1007.8876359945999,1007.8876359945999,0.0,0.0
10620,1007.8876359945999,1007.8876359945999,0.0,0.0
10680,1007.8876359945999,1007.8876359945999,0.0,0.0
10740,1007.8876359945999,1007.8876359945999,0.0,0.0
10800,1007.8876359945999,1007.8876359945999,0.0,0.0
10860,1007.8876359945999,1007.8876359945999,0.0,0.0
10920,1007.8876359945999,1007.8876359945999,0.0,0.0
10980,1007.8876359945999,1007.8876359945999,0.0,0.0
11040,1007.8876359945999,1007.8876359945999,0.0,0.0
11100,1007.8876359945999,1007.8876359945999,0.0,0.0
11160,1007.8876359945999,1007.8876359945999,0.0,0.0
11220,1007.8876359945999,1007.8876359945999,0.0,0.0
11280,1007.8876359945999,1007.8876359945999,0.0,0.0
11340,1007.8876359945999,1007.8876359945999,0.0,0.0
11400,1007.8876359945999,1007.8876359945999,0.0,0.0
11460,1007.8876359945999,1007.8876359945999,0.0,0.0
11520,1007.8876359945999,1007.8876359945999,0.0,0.0
11580,1007.8876359945999,1007.8876359945999,0.0,0.0
11640,1007.8876359945999,1007.8876359945999,0.0,0.0
11700,1007.8876359945999,1007.8876359945999,0.0,0.0
11760,1007.8876359945999,1007.8876359945999,0.0,0.0
11820,1007.8876359945999,1007.8876359945999,0.0,0.0
11880,1007.8876359945999,1007.8876359945999,0.0,0.0
11940,1007.8876359945999,1007.8876359945999,0.0,0.0
12000,1007.8876359945999,1007.8876359945999,0.0,0.0
12060,1007.8876359945999,1007.8876359945999,0.0,0.0
12120,1007.8876359945999,1007.8876359945999,0.0,0.0
12180,1007.8876359945999,1007.8876359945999,0.0,0.0
12240,1007.8876359945999,1007.8876359945999,0.0,0.0
12300,1007.8876359945999,1007.8876359945999,0.0,0.0
12360,1007.8876359945999,1007.8876359945999,0.0,0.0
12420,1007.8876359945999,1007.8876359945999,0.0,0.0
12480,1007.8876359945999,1007.8876359945999,0.0,0.0
12540,1007.8876359945999,1007.8876359945999,0.0,0.0
12600,1007.8876359945999,1007.8876359945999,0.0,0.0
12660,1007.8876359945999,1007.8876359945999,0.0,0.0
12720,1007.8876359945999,1007.8876359945999,0.0,0.0
12780,1007.8876359945999,1007.8876359945999,0.0,0.0
12840,1007.8876359945999,1007.8876359945999,0.0,0.0
12900,1007.8876359945999,1007.8876359945999,0.0,0.0
12960,1007.8876359945999,1007.8876359945999,0.0,0.0
13020,1007.8876359945999,1007.8876359945999,0.0,0.0
13080,1007.8876359945999,1007.8876359945999,0.0,0.0
13140,1007.8876359945999,1007.8876359945999,0.0,0.0
13200,1007.8876359945999,1007.8876359945999,0.0,0.0
13260,1007.8876359945999,1007.8876359945999,0.0,0.0
13320,1007.8876359945999,1007.8876359945999,0.0,0.0
13380,1007.8876359945999,1007.8876359945999,0.0,0.0
13440,1007.8876359945999,1007.8876359945999,0.0,0.0
13500,1007.8876359945999,1007.8876359945999,0.0,0.0
13560,1007.8876359945999,1007.8876359945999,0.0,0.0
13620,1007.8876359945999,1007.8876359945999,0.0,0.0
13680,1007.8876359945999,1007.8876359945999,0.0,0.0
13740,1007.8876359945999,1007.8876359945999,0.0,0.0
13800,1007.8876359945999,1007.8876359945999,0.0,0.0
13860,1007.8876359945999,1007.8876359945999,0.0,0.0
13920,1007.8876359945999,1007.8876359945999,0.0,0.0
13980,1007.8876359945999,1007.8876359945999,0.0,0.0
14040,1007.8876359945999,1007.8876359945999,0.0,0.0
14100,1007.8876359945999,1007.8876359945999,0.0,0.0
14160,1007.8876359945999,1007.8876359945999,0.0,0.0
14220,1007.8876359945999,1007.8876359945999,0.0,0.0
14280,1007.8876359945999,1007.8876359945999,0.0,0.0
14340,1007.8876359945999,1007.8876359945999,0.0,0.0
14400,1007.8876359945999,1007.8876359945999,0.0,0.0
14460,1007.8876359945999,1007.8876359945999,0.0,0.0
14520,1007.8876359945999,1007.8876359945999,0.0,0.0
14580,1007.8876359945999,1007.8876359945999,0.0,0.0
14640,1007.8876359945999,1007.8876359945999,0.0,0.0
14700,1007.8876359945999,1007.8876359945999,0.0,0.0
14760,1007.8876359945999,1007.8876359945999,0.0,0.0
14820,1007.8876359945999,1007.8876359945999,0.0,0.0
14880,1007.8876359945999,1007.8876359945999,0.0,0.0
14940,1007.8876359945999,1007.8876359945999,0.0,0.0
15000,1007.8876359945999,1007.8876359945999,0.0,0.0
15060,1007.8876359945999,1007.8876359945999,0.0,0.0
15120,1007.8876359945999,1007.8876359945999,0.0,0.0
15180,1007.8876359945999,1007.8876359945999,0.0,0.0
15240,1007.8876359945999,1007.8876359945999,0.0,0.0
15300,1007.8876359945999,1007.8876359945999,0.0,0.0
15360,1007.8876359945999,1007.8876359945999,0.0,0.0
15420,1007.8876359945999,1007.8876359945999,0.0,0.0
15480,1007.8876359945999,1007.8876359945999,0.0,0.0
15540,1007.8876359945999,1007.8876359945999,0.0,0.0
15600,1007.8876359945999,1007.8876359945999,0.0,0.0
15660,1007.8876359945999,1007.8876359945999,0.0,0.0
15720,1007.8876359945999,1007.8876359945999,0.0,0.0
15780,1007.8876359945999,1007.8876359945999,0.0,0.0
15840,1007.8876359945999,1007.8876359945999,0.0,0.0
15900,1007.8876359945999,1007.8876359945999,0.0,0.0
15960,1007.8876359945999,1007.8876359945999,0.0,0.0
16020,1007.8876359945999,1007.8876359945999,0.0,0.0
16080,1007.8876359945999,1007.8876359945999,0.0,0.0
16140,1007.8876359945999,1007.8876359945999,0.0,0.0
16200,1007.8876359945999,1007.8876359945999,0.0,0.0
16260,1007.8876359945999,1007.8876359945999,0.0,0.0
16320,1007.8876359945999,1007.8876359945999,0.0,0.0
16380,1007.8876359945999,1007.8876359945999,0.0,0.0
16440,1007.8876359945999,1007.8876359945999,0.0,0.0
16500,1007.8876359945999,1007.8876359945999,0.0,0.0
16560,1007.8876359945999,1007.8876359945999,0.0,0.0
16620,1007.8876359945999,1007.8876359945999,0.0,0.0
16680,1007.8876359945999,1007.8876359945999,0.0,0.0
16740,1007.8876359945999,1007.8876359945999,0.0,0.0
16800,1007.8876359945999,1007.8876359945999,0.0,0.0
16860,1007.8876359945999,1007.8876359945999,0.0,0.0
16920,1007.8876359945999,1007.8876359945999,0.0,0.0
16980,1007.8876359945999,1007.8876359945999,0.0,0.0
17040,1007.8876359945999,1007.8876359945999,0.0,0.0
17100,1007.8876359945999,1007.8876359945999,0.0,0.0
17160,1007.8876359945999,1007.8876359945999,0.0,0.0
17220,1007.8876359945999,1007.8876359945999,0.0,0.0
17280,1007.8876359945999,1007.8876359945999,0.0,0.0
17340,1007.8876359945999,1007.8876359945999,0.0,0.0
17400,1007.8876359945999,1007.8876359945999,0.0,0.0
17460,1007.8876359945999,1007.8876359945999,0.0,0.0
17520,1010.4641821183999,1007.8876359945999,0.0,0.0
17580,1010.4641821183999,1010.4641821183999,0.0,0.0
17640,1010.4641821183999,1010.4641821183999,0.0,0.0
17700,1010.4641821183999,1010.4641821183999,0.0,0.0
17760,1010.4641821183999,1010.4641821183999,0.0,0.0
17820,1010.4641821183999,1010.4641821183999,0.0,0.0
17880,1010.4641821183999,1010.4641821183999,0.0,0.0
17940,1010.4641821183999,1010.4641821183999,0.0,0.0
18000,1010.4641821183999,1010.4641821183999,0.0,0.0
18060,1010.4641821183999,1010.4641821183999,0.0,0.0
18120,1010.4641821183999,1010.4641821183999,0.0,0.0
18180,1010.4641821183999,1010.4641821183999,0.0,0.0
18240,1010.4641821183999,1010.4641821183999,0.0,0.0
18300,1010.4641821183999,1010.4641821183999,0.0,0.0
18360,1010.4641821183999,1010.4641821183999,0.0,0.0
18420,1010.4641821183999,1010.4641821183999,0.0,0.0
18480,1010.4641821183999,1010.4641821183999,0.0,0.0
18540,1010.4641821183999,1010.4641821183999,0.0,0.0
18600,1010.4641821183999,1010.4641821183999,0.0,0.0
18660,1010.4641821183999,1010.4641821183999,0.0,0.0
18720,1010.4641821183999,1010.4641821183999,0.0,0.0
18780,1010.4641821183999,1010.4641821183999,0.0,0.0
18840,1010.4641821183999,1010.4641821183999,0.0,0.0
18900,1010.4641821183999,1010.4641821183999,0.0,0.0
